Date	Open	High	Low	Close*	Adj Close**	Volume
21-Aug-17	"21,671.36"	"21,718.74"	"21,600.34"	"21,703.75"	"21,703.75"	"2,778,800"
18-Aug-17	"21,724.88"	"21,793.35"	"21,641.63"	"21,674.51"	"21,674.51"	"3,090,700"
17-Aug-17	"21,984.74"	"21,984.74"	"21,750.32"	"21,750.73"	"21,750.73"	"3,110,300"
16-Aug-17	"22,031.93"	"22,085.71"	"22,002.47"	"22,024.87"	"22,024.87"	"2,649,200"
15-Aug-17	"22,029.91"	"22,038.92"	"21,971.48"	"21,998.99"	"21,998.99"	"2,690,700"
14-Aug-17	"21,945.64"	"22,019.23"	"21,945.64"	"21,993.71"	"21,993.71"	"2,350,300"
11-Aug-17	"21,883.32"	"21,911.09"	"21,842.74"	"21,858.32"	"21,858.32"	"2,377,900"
10-Aug-17	"21,988.20"	"21,988.20"	"21,843.94"	"21,844.01"	"21,844.01"	"3,033,100"
9-Aug-17	"22,022.34"	"22,057.19"	"21,996.69"	"22,048.70"	"22,048.70"	"2,778,000"
8-Aug-17	"22,095.14"	"22,179.11"	"22,057.29"	"22,085.34"	"22,085.34"	"2,620,000"
7-Aug-17	"22,100.20"	"22,121.15"	"22,081.97"	"22,118.42"	"22,118.42"	"2,130,100"
4-Aug-17	"22,058.39"	"22,092.81"	"22,024.64"	"22,092.81"	"22,092.81"	"2,536,400"
3-Aug-17	"22,007.58"	"22,044.85"	"21,991.32"	"22,026.10"	"22,026.10"	"2,787,300"
2-Aug-17	"22,004.36"	"22,036.10"	"21,967.46"	"22,016.24"	"22,016.24"	"3,368,200"
1-Aug-17	"21,961.42"	"21,990.96"	"21,940.81"	"21,963.92"	"21,963.92"	"3,284,100"
31-Jul-17	"21,863.39"	"21,929.80"	"21,861.71"	"21,891.12"	"21,891.12"	"3,076,100"
28-Jul-17	"21,787.51"	"21,841.18"	"21,756.12"	"21,830.31"	"21,830.31"	"2,856,300"
27-Jul-17	"21,717.42"	"21,798.47"	"21,687.85"	"21,796.55"	"21,796.55"	"4,073,200"
26-Jul-17	"21,690.38"	"21,742.70"	"21,683.29"	"21,711.01"	"21,711.01"	"2,782,400"
25-Jul-17	"21,638.56"	"21,670.62"	"21,577.37"	"21,613.43"	"21,613.43"	"3,043,000"
24-Jul-17	"21,577.78"	"21,577.78"	"21,496.13"	"21,513.17"	"21,513.17"	"2,840,800"
21-Jul-17	"21,591.72"	"21,592.61"	"21,503.78"	"21,580.07"	"21,580.07"	"3,628,300"
20-Jul-17	"21,641.54"	"21,661.91"	"21,576.96"	"21,611.78"	"21,611.78"	"3,139,500"
19-Jul-17	"21,569.25"	"21,640.75"	"21,565.84"	"21,640.75"	"21,640.75"	"2,530,400"
18-Jul-17	"21,589.94"	"21,589.94"	"21,471.14"	"21,574.73"	"21,574.73"	"2,511,100"
17-Jul-17	"21,633.97"	"21,661.81"	"21,617.66"	"21,629.72"	"21,629.72"	"2,447,800"
14-Jul-17	"21,532.77"	"21,681.53"	"21,521.72"	"21,637.74"	"21,637.74"	"2,355,900"
13-Jul-17	"21,537.19"	"21,568.72"	"21,512.36"	"21,553.09"	"21,553.09"	"2,322,700"
12-Jul-17	"21,467.93"	"21,580.79"	"21,467.93"	"21,532.14"	"21,532.14"	"2,678,700"
